release_location_name,PR_Number,PR_MU_Number,StockID,FRAM_StockLongName,PR_MU,MU_Short_Name
NA,12,1,NA,NA,12_1,chehlw
NA,12,5,NA,NA,12_5,gryhmw
NA,12,3,NA,NA,12_3,humptw
NA,17,1,NA,NA,17_1,gsmndh
NA,17,2,NA,NA,17_2,gsmndw
NA,18,1,NA,NA,18_1,gsvcih
NA,18,2,NA,NA,18_2,gsvciw
NA,9,1,NA,NA,9_1,hohrvw
NA,4,6,NA,NA,4_6,ar12aw
NA,4,8,NA,NA,4_8,ar12dw
NA,4,3,NA,NA,4_3,ar12bw
NA,4,2,NA,NA,4_2,ptgamw
NA,4,10,NA,NA,4_10,skokrw
NA,19,1,NA,NA,19_1,jnstrh
NA,19,2,NA,NA,19_2,jnstrw
NA,7,1,NA,NA,7_1,makahw
NA,28,1,NA,NA,28_1,nasshw
NA,31,1,NA,NA,31_1,niakhw
NA,32,1,NA,NA,32_1,noakhw
NA,1,8,NA,NA,1_8,whatch
NA,1,7,NA,NA,1_7,ar77aw
NA,1,6,NA,NA,1_6,samshw
NA,1,1,NA,NA,1_1,nkskrw
NA,21,1,NA,NA,21_1,nwvcih
NA,21,2,NA,NA,21_2,nwvciw
NA,16,1,NA,NA,16_1,oresoh
NA,16,2,NA,NA,16_2,oresow
NA,16,5,NA,NA,16_5,calcnh
NA,16,3,NA,NA,16_3,calnoh
NA,16,4,NA,NA,16_4,calnow
NA,16,6,NA,NA,16_6,calcnw
NA,15,8,NA,NA,15_8,oresmw
NA,15,10,NA,NA,15_10,oraqah
NA,15,9,NA,NA,15_9,oranah
NA,15,5,NA,NA,15_5,orenmh
NA,15,4,NA,NA,15_4,orenow
NA,15,6,NA,NA,15_6,orenmw
NA,15,3,NA,NA,15_3,orenoh
NA,15,7,NA,NA,15_7,oresmh
NA,27,1,NA,NA,27_1,quenhw
NA,10,3,NA,NA,10_3,quetph
NA,10,1,NA,NA,10_1,quetfw
NA,8,3,NA,NA,8_3,quilfw
NA,8,1,NA,NA,8_1,quilsw
NA,8,2,NA,NA,8_2,quilsh
NA,11,1,NA,NA,11_1,quinfw
NA,33,1,NA,NA,33_1,siakhw
NA,6,8,NA,NA,6_8,area9w
NA,6,3,NA,NA,6_3,elwhaw
NA,6,5,NA,NA,6_5,ejdfmw
NA,6,1,NA,NA,6_1,dungew
NA,6,6,NA,NA,6_6,wjdfmw
NA,2,1,NA,NA,2_1,skagtw
NA,2,3,NA,NA,2_3,skgbkw
NA,29,1,NA,NA,29_1,skeehw
NA,34,1,NA,NA,34_1,soakhw
NA,5,22,NA,NA,5_22,are10h
NA,5,17,NA,NA,5_17,ar10ew
NA,5,23,NA,NA,5_23,ar10mw
NA,5,15,NA,NA,5_15,ar11mw
NA,5,11,NA,NA,5_11,ar13aw
NA,5,1,NA,NA,5_1,ar13bw
NA,5,8,NA,NA,5_8,ar13mw
NA,5,9,NA,NA,5_9,chambh
NA,5,2,NA,NA,5_2,deschw
NA,5,13,NA,NA,5_13,puyalw
NA,5,21,NA,NA,5_21,lakwaw
NA,5,19,NA,NA,5_19,greenw
NA,5,5,NA,NA,5_5,nisqlw
NA,3,4,NA,NA,3_4,snohow
NA,3,1,NA,NA,3_1,stillw
NA,20,1,NA,NA,20_1,swvcih
NA,20,2,NA,NA,20_2,swvciw
NA,24,1,NA,NA,24_1,thomph
NA,24,2,NA,NA,24_2,thompw
NA,30,1,NA,NA,30_1,tranhw
NA,13,1,NA,NA,13_1,willaw
